Prod,P,MO,CP
59286072,408,331,439
45863720,932,190,259
54835146,71,963,802
43787448,348,134,939
13593800,835,296,55
21636720,630,954,36
66086055,287,765,301
306880900,841,410,890
72305250,265,321,850
2840451,227,97,129
82535040,560,178,828
63060480,768,238,345
29220840,66,628,705
477546,59,142,57
3427200,102,840,40
35625240,938,180,211
10059434,22,581,787
27551400,977,282,100
37010552,316,373,314
44577600,80,740,753
75741120,221,612,560
122651200,932,188,700
2083536,728,53,54
281394750,875,741,434
211599360,448,480,984
116928528,878,716,186
24218858,379,178,359
66497900,287,331,700
73852241,667,421,263
26373087,117,993,227
80270919,739,149,729
374031864,673,996,558
73582344,279,792,333
99544800,708,148,950
301324320,440,746,918
39799200,412,322,300
87765452,503,482,362
4392,1,72,61
2671272,298,12,747
207911820,615,758,446
81592992,228,372,962
5336280,40,549,243
139418946,417,618,541
74442060,786,231,410
3621331,371,43,227
4442256,26,452,378
85570989,491,903,193
168025110,366,935,491
74346818,871,469,182
2470320,141,24,730
21602700,972,35,635
116783200,554,400,527
175181248,253,698,992
21707400,65,920,363
84216588,804,703,149
5646056,26,466,466
13925925,117,345,345
41208672,227,496,366
84214585,959,193,455
115490203,911,383,331
32933488,196,353,476
40627312,176,643,359
48514340,707,365,188
71605248,176,416,978
66559896,356,282,663
8957360,284,830,38
79642124,877,311,292
44686512,654,584,117
190011195,473,565,711
471761440,904,970,538
53545674,349,546,281
132160,118,16,70
179295600,880,289,705
25154640,310,483,168
21710920,98,530,418
151913844,669,762,298
59588974,298,359,557
30883079,109,967,293
86771400,680,705,181
16319286,613,87,306
5608317,769,51,143
169695680,352,679,710
160561632,784,319,642
208093050,865,243,990
43346277,629,117,589
666568980,765,966,902
77596992,444,264,662
214641520,710,713,424
152182875,325,589,795
125005104,963,976,133
380742,31,267,46
86329008,139,681,912
354943680,478,780,952
20303154,423,233,206
123953994,409,447,678
90665484,147,754,818
14959100,370,622,65
4514350,47,425,226
193514772,627,524,589
142003125,375,891,425
7964088,66,194,622
24872292,513,92,527
11048900,313,706,50
19117684,599,101,316
284612328,924,858,359
31593888,306,108,956
144028854,657,342,641
1774368,24,404,183
581085726,634,923,993
7917624,132,78,769
17317872,156,957,116
19674576,799,216,114
3354624,52,126,512
4276800,480,405,22
7721200,16,995,485
17065630,166,709,145
260304000,825,640,493
32619936,452,93,776
520487520,760,789,868
38541204,194,849,234
5232000,40,300,436
124595541,487,279,917
135791461,443,323,949
296989422,411,802,901
135123786,199,951,714
6870976,343,313,64
238002219,351,687,987
118940580,381,330,946
192786480,633,423,720
12119669,347,53,659
2638454,494,763,7
92042496,878,208,504
133498300,997,650,206
36860705,371,155,641
2376567,207,129,89
3571200,372,30,320
252351248,971,439,592
33294960,706,393,120
269736356,283,997,956
14464700,475,92,331
6374664,87,284,258
12651780,820,417,37
9531200,851,50,224
5241288,156,157,214
3855168,873,12,368
82833894,702,187,631
40120080,501,770,104
39471978,338,249,469
3002512,796,82,46
5770548,238,898,27
74681568,793,96,981
68692512,336,238,859
5834640,92,151,420
295402682,911,394,823
282181779,409,759,909
30268188,201,188,801
471474900,683,885,780
167948928,288,706,826
133857000,856,417,375
23442660,326,170,423
20313636,179,772,147
169198325,355,865,551
271180602,594,539,847
116974773,171,867,789
197572008,821,271,888
412214508,729,834,678
239301810,495,818,591
194806818,313,974,639
348341440,848,470,874
72705168,183,496,801
12590991,49,837,307
579044,2,361,802
154105,595,1,259
157608000,660,300,796
138466908,813,332,513
202376980,577,380,923
182250850,439,575,722
56152200,575,104,939
1505900,185,740,11
20867160,85,772,318
11112320,970,358,32
201019392,342,896,656
2150500,460,425,11
77528745,667,945,123
76401200,400,409,467
13121280,603,544,40
39369690,515,93,822
209059328,433,512,943
14492160,96,680,222
182061312,688,298,888
356324850,930,445,861
91922304,879,344,304
97358118,487,699,286
62421849,333,427,439
42084900,654,585,110
10114650,39,525,494
558074484,828,781,863
69400736,202,788,436
215840925,425,773,657
6453540,90,74,969
91110888,737,808,153
5630688,336,38,441
24591600,90,495,552
12474,2,297,21
15488850,235,338,195
12201840,180,269,252
2681224,377,254,28
2952450,150,243,81
86869580,863,719,140
153601056,872,932,189
3711159,261,59,241
41553000,162,684,375
13582968,347,932,42
7288083,463,99,159
48253920,152,740,429
91110240,124,780,942
25365760,280,596,152
66649140,387,395,436
80172834,553,331,438
30050020,869,665,52
159143616,216,972,758
63480000,690,184,500
33360060,142,382,615
404999364,561,826,874
32267662,623,893,58
48061143,533,387,233
2727361,301,533,17
159040000,400,497,800
7768724,188,43,961
214613301,877,903,271
140681900,349,725,556
20782224,144,219,659
27872596,667,674,62
73542690,390,239,789
51975264,88,593,996
851185,37,535,43
62797224,294,268,797
280739360,935,853,352
178035624,426,684,611
90616392,408,303,733
96153708,483,314,634
151277088,842,788,228
132644728,844,878,179
99936320,464,484,445
32869760,319,736,140
2404332,116,987,21
1939836,514,51,74
61489305,415,489,303
67601688,616,233,471
33238700,134,451,550
78841600,635,388,320
30731000,100,790,389
26467164,733,354,102
195004950,458,525,811
1837745,577,7,455
133110000,200,850,783
585144924,877,987,676
146793360,812,655,276
24346595,733,35,949
24977758,754,157,211
19291554,97,261,762
145281000,948,250,613
270281697,511,623,849
60367950,485,135,922
142626864,943,274,552
6134423,331,43,431
315882504,501,648,973
26886300,434,413,150
40291686,498,543,149
76686324,429,667,268
19510650,227,450,191
108966375,411,707,375
15521680,565,101,272
199573350,775,771,334
4623528,28,174,949
180613680,260,732,949
157731000,370,725,588
437499930,854,833,615
89288500,485,350,526
13490820,60,903,249
178992000,565,550,576
59111712,794,141,528
5302000,482,200,55
5029882,409,473,26
218183700,971,321,700
141343488,832,726,234
31363200,550,704,81
33702407,67,661,761
8243454,866,19,501
214417280,916,532,440
52924708,844,859,73
60347144,221,638,428
22785782,478,653,73
26780400,860,692,45
31973760,366,672,130
52981578,514,117,881
217005966,419,621,834
375197940,870,873,494
47234792,148,979,326
158207808,352,519,866
13031536,307,56,758
158670090,534,837,355
60766886,701,89,974
344704050,795,745,582
443220960,910,876,556
37387350,429,830,105
83047822,493,341,494
154051128,222,924,751
396680760,756,685,766
4071600,325,54,232
23834520,761,435,72
75352875,205,377,975
447694920,890,534,942
313388624,412,794,958
189017550,662,675,423
263330680,565,596,782
141551592,329,788,546
125470218,894,479,293
4731636,619,364,21
304581600,720,717,590
137325825,353,455,855
48824400,230,348,610
138407880,307,520,867
223168792,844,707,374
34701944,194,197,908
8642850,367,157,150
43490340,820,249,213
191513673,423,507,893
23255586,878,243,109
104380650,550,781,243
344793750,925,375,994
14607960,570,149,172
15863848,283,77,728
8704080,55,336,471
133665336,219,692,882
553968450,854,675,961
453889800,728,765,815
6748560,546,40,309
11799744,222,176,302
16340688,774,28,754
24470724,166,474,311
56133000,108,990,525
214319280,580,996,371
219085296,543,604,668
33992100,844,179,225
28545920,64,470,949
109524916,971,692,163
80575200,372,285,760
66106370,290,253,901
273293190,534,669,765
628235364,788,879,907
548177344,673,979,832
51056712,177,357,808
33284102,167,454,439
52947756,342,282,549
19249360,166,446,260
90887280,692,165,796
274732602,899,318,961
3195340,811,20,197
34056000,132,516,500
25463040,698,114,320
52923456,164,996,324
319225123,491,917,709
341870833,697,859,571
331888533,907,849,431
19217328,184,618,169
135292192,706,406,472
109570912,716,407,376
48048000,325,352,420
18767424,206,219,416
131304096,496,693,382
3673488,29,348,364
316024275,791,525,761
27159660,946,330,87
51017584,304,257,653
211358000,310,974,700
4504104,66,282,242
176911020,754,495,474
10458816,47,608,366
55280192,527,352,298
507840,736,138,5
14090976,24,846,694
203752608,978,232,898
505633130,995,817,622
4911658,226,211,103
651283875,795,825,993
126957600,504,550,458
128979900,347,630,590
72198728,952,181,419
217029264,929,314,744
45408168,309,156,942
107712990,770,891,157
30633660,282,142,765
287832272,403,911,784
78663312,216,754,483
55498950,585,179,530
37885905,607,855,73
16155780,674,51,470
7763470,61,890,143
4881870,123,45,882
14511510,471,130,237
168707700,630,878,305
51125796,258,218,909
10568560,818,646,20
249680024,454,638,862
4573800,924,45,110
40164020,895,52,863
93543450,623,462,325
76667256,222,477,724
1494720,144,865,12
474079720,820,619,934
72705600,120,748,810
27281056,776,799,44
188164171,611,563,547
60498240,320,561,337
325144110,642,509,995
49891600,460,340,319
45442054,443,238,431
62984088,618,447,228
344540598,489,901,782
167965245,783,681,315
47200500,900,85,617
144044160,348,520,796
20315818,746,241,113
352414133,937,661,569
41369856,913,236,192
114253760,536,584,365
232816875,625,681,547
276505680,610,748,606
1533984,551,4,696
27959100,535,195,268
2201472,14,168,936
54114984,86,924,681
409479,357,31,37
92699529,559,331,501
87343028,422,239,866
23226720,913,32,795
979225,23,655,65
129131184,296,546,799
183257235,743,261,945
55441760,340,218,748
270259800,604,942,475
